"Server_IP","Client_IP","Server_port","Client_port"
"131.243.1.10","62.87.148.206","54275","21"
"131.243.1.10","62.87.148.206","54275","21"
"131.243.1.10","62.87.148.206","54275","21"
"131.243.1.10","62.87.148.206","54275","21"
"131.243.1.10","62.87.148.206","54275","21"
"131.243.1.10","62.87.148.206","54275","21"
"131.243.2.12","79.37.53.67","36123","21"
"131.243.1.10","83.27.116.42","34142","21"
"131.243.1.10","83.27.116.42","34142","21"
"131.243.1.10","83.27.116.42","34142","21"
"131.243.1.10","83.27.116.42","34142","21"
"131.243.1.10","83.27.116.42","34142","21"
"131.243.1.10","83.27.116.42","34142","21"
"131.243.2.12","79.37.53.67","34734","21"
"203.174.5.11","79.37.53.67","34960","21"
"131.243.1.10","255.143.100.71","2517","21"
"131.243.1.10","255.143.100.71","2517","21"
"131.243.1.10","255.143.100.71","2517","21"
"131.243.1.10","255.143.100.71","2517","21"
"131.243.1.10","255.143.100.71","2519","21"
"131.243.1.10","255.143.100.71","2519","21"
"131.243.1.10","255.143.100.71","2519","21"
"131.243.1.10","255.143.100.71","2519","21"
"131.243.1.10","255.143.100.71","2517","21"
"131.243.1.10","255.143.100.71","2519","21"
"131.243.1.10","116.177.87.124","3150","21"
"131.243.1.10","116.177.87.124","3150","21"
"131.243.1.10","116.177.87.124","3150","21"
"131.243.1.10","116.177.87.124","3150","21"
"131.243.1.10","116.177.87.124","3150","21"
"131.243.1.10","116.177.87.124","3150","21"
"131.243.1.10","116.177.87.124","3150","21"
"131.243.1.10","116.177.87.124","3150","21"
"131.243.1.10","116.177.87.124","3150","21"
"131.243.2.12","79.37.53.67","34788","21"
"131.243.1.10","83.27.116.42","34474","21"
"131.243.1.10","83.27.116.42","34474","21"
"131.243.1.10","83.27.116.42","34474","21"
"131.243.1.10","83.27.116.42","34474","21"
"131.243.1.10","83.27.116.42","34474","21"
"131.243.1.10","83.27.116.42","34474","21"
"131.243.1.10","12.47.80.49","2074","21"
"131.243.1.10","12.47.80.49","2074","21"
"131.243.1.10","12.47.80.49","2074","21"
"131.243.1.10","12.47.80.49","2074","21"
"131.243.1.10","12.47.80.49","2074","21"
"131.243.1.10","12.47.80.49","2074","21"
"131.243.1.10","12.47.80.49","2074","21"
"131.243.1.10","12.47.80.49","2074","21"
"131.243.1.10","12.47.80.49","2074","21"
"131.243.1.10","12.47.80.49","2074","21"
"131.243.1.10","83.27.116.42","34505","21"
"131.243.1.10","83.27.116.42","34505","21"
"131.243.1.10","83.27.116.42","34505","21"
"131.243.1.10","83.27.116.42","34505","21"
"131.243.1.10","83.27.116.42","34505","21"
