"Client IP",Server IP",Data Sent","Data Recieved"
"63.186.251.146","131.243.1.10","663","3906"
"63.190.10.41","219.25.254.81","1482","2900"
"64.37.211.186","128.3.12.44","1289","1477"
"65.100.203.248","131.243.1.10","542","3429"
"65.158.82.26","131.243.1.10","809","3833"
"65.240.185.205","131.243.2.12","74783","3880"
"65.53.20.42","131.243.1.10","853","3840"
"66.150.59.108","131.243.1.10","992","4285"
"66.68.80.50","131.243.1.10","1561","5537"
"67.38.38.206","131.243.1.10","5675","11755"
"67.38.38.206","131.243.1.83","3321","6856"
"67.64.134.183","131.243.1.10","3529","8071"
"68.148.33.212","131.243.1.10","1117","4734"
"68.194.173.23","131.243.1.10","962","4303"
"68.247.168.69","131.243.1.10","861","3844"
"68.48.93.14","131.243.1.10","750","3926"
"69.157.45.176","131.243.2.12","3635","2308"
"69.157.45.176","203.174.5.11","554","532"
"69.30.229.129","131.243.1.10","448","2877"
"69.41.39.220","131.243.1.10","887","3333"
"7.229.252.69","131.243.1.10","1344","5212"
"7.82.237.222","131.243.1.10","1845","6158"
"70.139.194.5","131.243.2.12","59659","2710"
"71.11.166.176","131.243.1.10","746","3806"
"71.226.190.160","229.54.79.176","556","424"
"72.139.17.124","131.243.1.10","1401","4282"
"72.187.225.100","131.243.1.10","675","3905"
"73.104.3.43","131.243.2.12","18215","2308"
"73.180.196.60","131.243.1.10","1702","5038"
"73.231.82.55","131.243.1.10","1385","5093"
"73.6.91.115","131.243.2.12","8180","2228"
"73.72.167.102","128.3.28.48","3546","2619"
"74.176.55.50","131.243.1.10","916","3954"
"74.218.79.24","131.243.1.10","2073","5756"
"75.16.160.171","131.243.2.12","1009","3031"
"75.182.158.74","128.3.28.48","23796","18339"
"75.254.162.229","131.243.1.10","2778","7261"
"76.152.197.160","131.243.2.12","9424","2478"
"76.195.103.51","131.243.1.10","1747","5528"
"76.62.141.80","131.243.1.10","2496","6324"
"77.127.89.121","131.243.1.83","952","4108"
"77.222.43.116","131.243.1.10","2526","5455"
"78.138.144.62","131.243.1.10","1745","5067"
"79.176.121.114","131.243.1.10","1151","4598"
"79.179.251.247","131.243.1.10","2316","6676"
"79.223.243.242","131.243.1.10","875","4010"
"8.205.135.192","128.3.28.48","4440","3979"
"8.235.219.228","131.243.1.10","1109","4483"
"8.24.194.121","128.3.180.73","3712","2045"
"80.37.169.239","128.3.12.44","3024","2354"
"80.46.250.63","128.3.20.245","6446","3849"
